year,stock,source,target,sublist.holder,sublist.location,sublist.is_coreSource,sublist.table_source1,sublist.table_source2,sublist.table_source3,sublist.table_source4,market,group,taxcode.source,taxcode.target,china.note,X1,修正,非集團
2013,4181,Biodenta South America Holding LLC Brazil,Biodenta do Brazil,0,不明,0,1,0,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta EuroAsia AG Berneck,Biodenta Egypt Cairo,0,不明,0,1,0,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta Swiss AG,Biodenta EuroAsia AG Berneck,1,不明,0,1,0,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta EuroAsia AG Berneck,Biodenta Iran Tehran,0.51,伊朗,0,1,0,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta Singapore Pte. Ltd.,Biodenta Korea,0.35,南韓,0,0,1,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta Singapore Pte. Ltd.,Biodenta North America Holding Corp. USA,1,美國,0,0,1,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta North America Holding Corp. USA,Biodenta North America LLC,1,美國,0,0,1,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta Swiss AG,Biodenta Russia,0.45,俄羅斯,0,0,1,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,百丹特生醫股份有限公司,Biodenta Singapore Pte. Ltd.,1,新加坡,1,1,0,0,0,興櫃,G4181,28881574,NA,NA,NA,NA,NA
2013,4181,Biodenta Swiss AG,Biodenta South America Holding LLC Brazil,0,不明,0,1,0,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta Singapore Pte. Ltd.,Biodenta Swiss AG,1,瑞士,0,1,0,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta Swiss AG,Biodenta Turkey Istanbal,1,土耳其,0,1,0,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta Swiss AG,Biodenta Ukraine Kiev,0.85,烏克蘭,0,1,0,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta Swiss AG,Brodenta Euro Asia AG Berneck,1,瑞士,0,0,1,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,Biodenta Swiss AG,DentaSwiss Berneck AG,0,不明,0,1,0,0,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,百丹特生醫股份有限公司,丹特仕牙體科技股份有限公司,1,台灣,1,1,0,0,0,興櫃,G4181,28881574,53630061,NA,NA,NA,NA
2013,4181,Biodenta Singapore Pte. Ltd.,佰石德(上海)醫療器械有限公司,1,china,0,1,0,1,0,興櫃,G4181,NA,NA,NA,NA,NA,NA
2013,4181,百丹特生醫股份有限公司,精瑞生醫股份有限公司,1,台灣,1,1,0,0,0,興櫃,G4181,28881574,24248875,NA,NA,NA,NA
